,AvAge_H,W/GP_H,P/GP_H,W_H,PTS_H,GF/G_H,GA/G_H,SRS_H,SOS_H,PP%_H,PPA_H,AvAge_A,W/GP_A,P/GP_A,W_A,PTS_A,GF/G_A,GA/G_A,SRS_A,SOS_A,PP%_A,PPA_A,Class
342,28.73990622939611,0.5190081855493973,1.1458524058863893,40.856389343361585,90.18727259407585,2.7481607286757344,2.6973670972625823,0.06203145222338895,0.016739273766208398,20.320078630558477,49.05701936460649,26.375534174989625,0.5246143155536357,1.1621602327996825,41.636931943053895,91.90632707381995,2.8353275866279213,2.7052262460013194,0.12075456032819713,-0.006626700202681256,17.105556396669193,39.68506263583308,1.0
343,27.945268735806213,0.5149221424398004,1.119507362287401,40.71658811750629,88.49251544528829,2.9338499670337725,2.9072850479841765,0.014916363458767777,-0.01841737686503382,18.903441674195992,47.43881712290299,,,,,,,,,,,,0.0
344,27.96231838050353,0.4216869199884103,0.9655625080000818,32.9220531855144,75.58753144001368,2.6565595467754144,3.035362018021538,-0.3753393079534078,0.009746282142072234,18.94662376987131,49.46025738077215,27.239857390539914,0.5105695282804631,1.1449186275736865,40.35967375644063,90.49251544528829,3.163445092915924,2.972826792996508,0.1557163439232253,-0.011701057361236602,22.004254841151624,43.85997899929184,0.0
345,28.81172132548656,0.5830140159859617,1.2937387905678386,45.96522673438989,101.90039315279238,3.0891157725086082,2.560525506092648,0.4833095650899856,-0.024131767234011385,23.67924861419746,41.43849967033773,28.554318575858957,0.6207634158883503,1.341164192479681,49.0162877585407,105.83477814949576,3.2362682229982176,2.7448299186833043,0.5069668628360724,-0.003546189348245466,21.36919025176431,46.748015921467136,0.0
346,28.479661058338014,0.4880979537285021,1.0975108179342745,38.684452150130646,86.98183194549586,2.969806598129472,3.0054167175404753,-0.01034602329613442,0.017328026177626927,18.14357451588484,48.30983370369467,27.304273399916973,0.6274900478067739,1.3301713010118237,49.65412322043419,105.22275402310079,3.3383196991526463,2.7056411320846867,0.6339381211692022,-0.026258699421259562,23.189594149105027,47.06407657932652,0.0
347,27.14757392981857,0.47604751901588516,1.0557341539395644,37.27769773631903,82.7189079631755,2.903149862030231,2.955703890014896,-0.02761007057214717,0.01453761812898342,18.972956704353987,50.73553759370956,27.812395301702036,0.48942358162276894,1.1176759782814227,39.03557910673732,89.1146247954873,2.605040658347782,2.7363358648140466,-0.134427242313985,-0.006071890796317551,17.82379331396059,46.73456081658568,0.0
348,27.387624233840448,0.4231131758810585,0.9618619584194148,33.31383848990257,75.7749017118019,2.5403931527923618,2.869802446826696,-0.3129259358745819,0.00887670630753828,17.303098092842667,46.431564552758175,29.02163561329394,0.5122034689243442,1.1386956403483153,40.39041781641475,89.83045591072258,2.9255573734463143,2.788547044028229,0.12684989377548778,0.0021100827818612508,20.411993113721277,45.03125686796415,1.0
349,28.893685135894124,0.47125097326736287,1.0359425052648543,37.42858538253034,82.268125320505,2.5918688188322636,2.7222592854875343,-0.15181021220483018,-0.003131547459158507,18.29865204756905,45.338404434568154,28.196576396180802,0.5667985779957163,1.239366620433612,44.888500891309135,98.07176869917707,2.8930543820663726,2.6321725965177896,0.2712114478278919,0.005455300236868453,20.853432639007597,42.692510561402656,0.0
350,29.293279773387713,0.5227426131868146,1.1380906746968866,41.65089985592538,90.68613709066933,2.9348877927278942,2.860182168933604,0.060170203413836054,-0.019700373617249887,20.120310859319677,39.09784864838466,28.841328413284135,0.562740768252753,1.2209249557284305,43.91512915129152,95.19926199261994,3.136051660516605,2.8270848708487084,0.2960147601476015,-0.023653136531365315,20.08439114391144,46.2140221402214,0.0
351,27.563939830529172,0.4233470051919296,0.9836979298962848,33.42624111743304,77.53471221703988,2.5740377524358378,3.0159375839417844,-0.4334297086762229,0.025186686527801525,18.828644477546337,44.25569583160363,27.876794217479432,0.4909360953776917,1.0891569911418737,38.70787038167566,86.00378501135505,2.9615232839246906,3.0061175551268593,-0.046520475690459355,0.004232131083490025,20.622567947058684,51.045957363678546,1.0
352,28.417569778515787,0.5156947903620126,1.1557732835830987,40.52733754975458,90.7513858025445,2.867472589191961,2.8275199628824694,0.04261898366340261,0.009609044956167127,17.67121633171351,43.32240970916462,26.43902297179413,0.4170142125583993,0.9625621252735784,32.55161384123292,75.2047106717069,2.608249491131143,2.982605408548997,-0.38189880779296315,0.010930503053213145,20.358156440825823,44.93515556847922,0.0
353,28.24014065590584,0.5751937678166767,1.2577682028990167,45.32558423481723,99.1803374764963,3.2319464726136125,2.8142006300212454,0.40938194427486513,-0.014815511220727214,22.486996410344073,44.34128592708359,27.32309589509414,0.510353354131021,1.14975516825888,39.96266269443969,90.18524578154381,2.9236616932431443,2.907669165588142,0.013451930355791076,0.010984347146589827,19.43007081634148,48.24084881932066,0.0
354,28.59181460770189,0.5467965668027724,1.217925683264273,43.22705184244585,96.28131181167738,2.9652640961148693,2.712383091987986,0.2569600253962052,-0.004224316866498988,17.76879416864057,48.583575492661964,28.30834900246636,0.4943025391397296,1.1152023809952318,38.92254157407634,87.85800102561599,3.0033852653170867,3.0038983175014042,-0.006651363825059221,0.0010617567336572964,20.55844081951601,43.33947888940442,1.0
355,28.17855485824522,0.4707816090181795,1.0565786237091206,37.43127151962102,83.95331005347855,2.778838856193988,2.897051109863007,-0.10229493785255553,0.0006617665014285369,17.541591658323362,50.28536543674147,26.55817440355547,0.533879855121907,1.1567458259072954,42.37833019950672,91.82652438279895,3.0633193328612247,2.876866987375156,0.19917071622182614,-0.0034155454079265466,20.680456887499698,51.651998730189746,0.0
356,27.96231838050353,0.4216869199884103,0.9655625080000818,32.9220531855144,75.58753144001368,2.6565595467754144,3.035362018021538,-0.3753393079534078,0.009746282142072234,18.94662376987131,49.46025738077215,27.239857390539914,0.5105695282804631,1.1449186275736865,40.35967375644063,90.49251544528829,3.163445092915924,2.972826792996508,0.1557163439232253,-0.011701057361236602,22.004254841151624,43.85997899929184,0.0
357,27.387624233840448,0.4231131758810585,0.9618619584194148,33.31383848990257,75.7749017118019,2.5403931527923618,2.869802446826696,-0.3129259358745819,0.00887670630753828,17.303098092842667,46.431564552758175,29.02163561329394,0.5122034689243442,1.1386956403483153,40.39041781641475,89.83045591072258,2.9255573734463143,2.788547044028229,0.12684989377548778,0.0021100827818612508,20.411993113721277,45.03125686796415,0.0
358,28.73990622939611,0.5190081855493973,1.1458524058863893,40.856389343361585,90.18727259407585,2.7481607286757344,2.6973670972625823,0.06203145222338895,0.016739273766208398,20.320078630558477,49.05701936460649,26.375534174989625,0.5246143155536357,1.1621602327996825,41.636931943053895,91.90632707381995,2.8353275866279213,2.7052262460013194,0.12075456032819713,-0.006626700202681256,17.105556396669193,39.68506263583308,0.0
359,27.14757392981857,0.47604751901588516,1.0557341539395644,37.27769773631903,82.7189079631755,2.903149862030231,2.955703890014896,-0.02761007057214717,0.01453761812898342,18.972956704353987,50.73553759370956,27.812395301702036,0.48942358162276894,1.1176759782814227,39.03557910673732,89.1146247954873,2.605040658347782,2.7363358648140466,-0.134427242313985,-0.006071890796317551,17.82379331396059,46.73456081658568,0.0
360,28.893685135894124,0.47125097326736287,1.0359425052648543,37.42858538253034,82.268125320505,2.5918688188322636,2.7222592854875343,-0.15181021220483018,-0.003131547459158507,18.29865204756905,45.338404434568154,28.196576396180802,0.5667985779957163,1.239366620433612,44.888500891309135,98.07176869917707,2.8930543820663726,2.6321725965177896,0.2712114478278919,0.005455300236868453,20.853432639007597,42.692510561402656,0.0
361,27.09905496813265,0.47050429206052086,1.045726733882366,37.18153402847306,82.60946008644478,2.848053283192108,3.0193585016238926,-0.1692464164489268,-0.007433273912724963,21.751652951087884,47.97584918561208,27.945268735806213,0.5149221424398004,1.119507362287401,40.71658811750629,88.49251544528829,2.9338499670337725,2.9072850479841765,0.014916363458767777,-0.01841737686503382,18.903441674195992,47.43881712290299,0.0
362,29.293279773387713,0.5227426131868146,1.1380906746968866,41.65089985592538,90.68613709066933,2.9348877927278942,2.860182168933604,0.060170203413836054,-0.019700373617249887,20.120310859319677,39.09784864838466,28.841328413284135,0.562740768252753,1.2209249557284305,43.91512915129152,95.19926199261994,3.136051660516605,2.8270848708487084,0.2960147601476015,-0.023653136531365315,20.08439114391144,46.2140221402214,1.0
363,28.417569778515787,0.5156947903620126,1.1557732835830987,40.52733754975458,90.7513858025445,2.867472589191961,2.8275199628824694,0.04261898366340261,0.009609044956167127,17.67121633171351,43.32240970916462,26.43902297179413,0.4170142125583993,0.9625621252735784,32.55161384123292,75.2047106717069,2.608249491131143,2.982605408548997,-0.38189880779296315,0.010930503053213145,20.358156440825823,44.93515556847922,0.0
364,28.479661058338014,0.4880979537285021,1.0975108179342745,38.684452150130646,86.98183194549586,2.969806598129472,3.0054167175404753,-0.01034602329613442,0.017328026177626927,18.14357451588484,48.30983370369467,27.304273399916973,0.6274900478067739,1.3301713010118237,49.65412322043419,105.22275402310079,3.3383196991526463,2.7056411320846867,0.6339381211692022,-0.026258699421259562,23.189594149105027,47.06407657932652,1.0
365,26.84718321896901,0.49312661417412224,1.1133295848168194,38.525921222924964,87.22072721056874,2.8154596957339257,2.829129935776905,0.0009814168152181759,0.004647749749700862,18.861539644941516,38.5224292447071,28.30834900246636,0.4943025391397296,1.1152023809952318,38.92254157407634,87.85800102561599,3.0033852653170867,3.0038983175014042,-0.006651363825059221,0.0010617567336572964,20.55844081951601,43.33947888940442,0.0
366,28.81172132548656,0.5830140159859617,1.2937387905678386,45.96522673438989,101.90039315279238,3.0891157725086082,2.560525506092648,0.4833095650899856,-0.024131767234011385,23.67924861419746,41.43849967033773,27.563939830529172,0.4233470051919296,0.9836979298962848,33.42624111743304,77.53471221703988,2.5740377524358378,3.0159375839417844,-0.4334297086762229,0.025186686527801525,18.828644477546337,44.25569583160363,1.0
367,27.32309589509414,0.510353354131021,1.14975516825888,39.96266269443969,90.18524578154381,2.9236616932431443,2.907669165588142,0.013451930355791076,0.010984347146589827,19.43007081634148,48.24084881932066,28.554318575858957,0.6207634158883503,1.341164192479681,49.0162877585407,105.83477814949576,3.2362682229982176,2.7448299186833043,0.5069668628360724,-0.003546189348245466,21.36919025176431,46.748015921467136,1.0
368,28.24014065590584,0.5751937678166767,1.2577682028990167,45.32558423481723,99.1803374764963,3.2319464726136125,2.8142006300212454,0.40938194427486513,-0.014815511220727214,22.486996410344073,44.34128592708359,27.876794217479432,0.4909360953776917,1.0891569911418737,38.70787038167566,86.00378501135505,2.9615232839246906,3.0061175551268593,-0.046520475690459355,0.004232131083490025,20.622567947058684,51.045957363678546,0.0
369,28.73990622939611,0.5190081855493973,1.1458524058863893,40.856389343361585,90.18727259407585,2.7481607286757344,2.6973670972625823,0.06203145222338895,0.016739273766208398,20.320078630558477,49.05701936460649,28.59181460770189,0.5467965668027724,1.217925683264273,43.22705184244585,96.28131181167738,2.9652640961148693,2.712383091987986,0.2569600253962052,-0.004224316866498988,17.76879416864057,48.583575492661964,1.0
370,27.945268735806213,0.5149221424398004,1.119507362287401,40.71658811750629,88.49251544528829,2.9338499670337725,2.9072850479841765,0.014916363458767777,-0.01841737686503382,18.903441674195992,47.43881712290299,,,,,,,,,,,,1.0
371,29.02163561329394,0.5122034689243442,1.1386956403483153,40.39041781641475,89.83045591072258,2.9255573734463143,2.788547044028229,0.12684989377548778,0.0021100827818612508,20.411993113721277,45.03125686796415,28.841328413284135,0.562740768252753,1.2209249557284305,43.91512915129152,95.19926199261994,3.136051660516605,2.8270848708487084,0.2960147601476015,-0.023653136531365315,20.08439114391144,46.2140221402214,0.0
372,29.293279773387713,0.5227426131868146,1.1380906746968866,41.65089985592538,90.68613709066933,2.9348877927278942,2.860182168933604,0.060170203413836054,-0.019700373617249887,20.120310859319677,39.09784864838466,28.196576396180802,0.5667985779957163,1.239366620433612,44.888500891309135,98.07176869917707,2.8930543820663726,2.6321725965177896,0.2712114478278919,0.005455300236868453,20.853432639007597,42.692510561402656,0.0
373,27.09905496813265,0.47050429206052086,1.045726733882366,37.18153402847306,82.60946008644478,2.848053283192108,3.0193585016238926,-0.1692464164489268,-0.007433273912724963,21.751652951087884,47.97584918561208,,,,,,,,,,,,0.0
